iter	Passed	Remaining
520	1542	1418
521	1544	1414
522	1548	1412
523	1550	1408
524	1552	1404
525	1554	1400
526	1555	1396
527	1558	1392
528	1561	1390
529	1564	1387
530	1565	1383
531	1567	1379
532	1569	1375
533	1571	1371
534	1573	1367
535	1576	1364
536	1579	1362
537	1581	1357
538	1583	1354
539	1585	1350
540	1587	1346
541	1590	1344
542	1592	1340
543	1594	1336
544	1596	1332
545	1597	1328
546	1599	1324
547	1601	1320
548	1604	1317
549	1606	1314
550	1608	1311
551	1611	1307
552	1613	1304
553	1615	1300
554	1619	1298
555	1621	1295
556	1623	1291
557	1625	1287
558	1627	1283
559	1629	1280
560	1632	1277
561	1635	1274
562	1637	1270
563	1638	1266
564	1640	1262
565	1641	1259
566	1643	1255
567	1646	1252
568	1649	1249
569	1650	1245
570	1652	1241
571	1654	1237
572	1655	1233
573	1657	1230
574	1660	1227
575	1663	1224
576	1665	1221
577	1667	1217
578	1668	1213
579	1670	1209
580	1671	1205
581	1673	1201
582	1677	1199
583	1679	1196
584	1681	1192
585	1683	1189
586	1685	1185
587	1686	1181
588	1689	1178
589	1692	1176
590	1694	1172
591	1696	1169
592	1698	1165
593	1700	1161
594	1701	1158
595	1705	1156
596	1707	1152
597	1709	1149
598	1711	1145
599	1713	1142
600	1715	1138
601	1717	1135
602	1720	1132
603	1722	1129
604	1724	1125
605	1726	1122
606	1727	1118
607	1729	1115
608	1733	1112
609	1735	1109
610	1737	1106
611	1739	1103
612	1741	1099
613	1743	1095
614	1744	1092
615	1749	1090
616	1751	1087
617	1753	1083
618	1755	1080
619	1757	1077
620	1759	1074
621	1763	1071
622	1764	1067
623	1766	1064
624	1768	1061
625	1770	1057
626	1772	1054
627	1776	1052
628	1778	1049
629	1780	1045
630	1782	1042
631	1784	1039
632	1786	1035
633	1789	1033
634	1791	1029
635	1793	1026
636	1794	1022
637	1797	1019
638	1799	1016
639	1800	1012
640	1803	1010
641	1806	1007
642	1808	1004
643	1810	1000
644	1812	997
645	1814	994
646	1816	991
647	1819	988
648	1821	985
649	1823	981
650	1825	978
651	1827	975
652	1829	972
653	1832	969
654	1834	966
655	1836	963
656	1838	959
657	1840	956
658	1841	953
659	1843	949
660	1847	947
661	1850	944
662	1852	941
663	1854	938
664	1855	934
665	1857	931
666	1861	929
667	1863	926
668	1865	923
669	1867	919
670	1869	916
671	1871	913
672	1873	910
673	1877	908
674	1879	904
675	1881	901
676	1883	898
677	1885	895
678	1887	892
679	1891	890
680	1893	886
681	1895	883
682	1897	880
683	1898	877
684	1900	874
685	1903	871
686	1907	869
687	1909	865
688	1911	862
689	1913	859
690	1914	856
691	1917	853
692	1919	850
693	1922	847
694	1923	844
695	1925	841
696	1927	837
697	1929	834
698	1933	832
699	1935	829
700	1937	826
701	1939	823
702	1940	819
703	1942	816
704	1944	813
705	1947	811
706	1949	808
707	1951	804
708	1953	801
709	1955	798
710	1957	795
711	1960	793
712	1963	790
713	1966	787
714	1968	784
715	1969	781
716	1972	778
717	1975	775
718	1978	773
719	1980	770
720	2017	780
721	2020	778
722	2026	776
723	2028	773
724	2031	770
725	2035	768
726	2038	765
727	2041	762
728	2044	760
729	2052	759
730	2056	756
731	2058	753
732	2061	750
733	2064	748
734	2066	745
735	2068	742
736	2070	738
737	2071	735
738	2075	732
739	2078	730
740	2080	727
741	2081	723
742	2083	720
743	2085	717
744	2088	714
745	2090	711
746	2093	708
747	2095	705
748	2097	702
749	2098	699
750	2101	696
751	2104	694
752	2107	691
753	2109	688
754	2110	685
755	2112	681
756	2116	679
757	2119	676
758	2121	673
759	2123	670
760	2125	667
761	2127	664
762	2130	661
763	2133	659
764	2135	656
765	2137	652
766	2139	649
767	2140	646
768	2142	643
769	2146	641
770	2148	638
771	2150	635
772	2152	632
773	2153	628
774	2155	625
775	2157	622
776	2159	619
777	2161	616
778	2163	613
779	2166	610
780	2168	607
781	2170	605
782	2174	602
783	2177	599
784	2179	596
785	2181	593
786	2183	590
787	2185	587
788	2188	585
789	2190	582
790	2192	579
791	2194	576
792	2196	573
793	2198	570
794	2201	567
795	2203	564
796	2205	561
797	2207	558
798	2210	556
799	2212	553
800	2214	550
801	2217	547
802	2220	544
803	2222	541
804	2223	538
805	2225	535
806	2227	532
807	2229	529
808	2232	527
809	2234	524
810	2236	521
811	2238	518
812	2240	515
813	2243	512
814	2246	509
815	2248	507
816	2251	504
817	2253	501
818	2255	498
819	2257	495
820	2260	492
821	2262	489
822	2264	487
823	2266	484
824	2268	481
825	2270	478
826	2273	475
827	2275	472
828	2277	469
829	2279	466
830	2282	464
831	2283	461
832	2285	458
833	2288	455
834	2290	452
835	2292	449
836	2293	446
837	2295	443
838	2297	440
839	2300	438
840	2303	435
841	2305	432
842	2307	429
843	2309	426
844	2311	423
845	2313	421
846	2317	418
847	2319	415
848	2321	412
849	2322	409
850	2324	406
851	2326	404
852	2328	401
853	2331	398
854	2333	395
855	2334	392
856	2337	389
857	2338	387
858	2340	384
859	2342	381
860	2345	378
861	2347	375
862	2349	373
863	2351	370
864	2353	367
865	2355	364
866	2358	361
867	2361	359
868	2363	356
869	2364	353
870	2366	350
871	2368	347
872	2371	345
873	2374	342
874	2376	339
875	2377	336
876	2380	333
877	2382	330
878	2385	328
879	2388	325
880	2390	322
881	2392	320
882	2394	317
883	2395	314
884	2398	311
885	2402	309
886	2404	306
887	2405	303
888	2407	300
889	2409	297
890	2411	294
891	2414	292
892	2416	289
893	2418	286
894	2420	283
895	2421	281
896	2423	278
897	2427	275
898	2429	272
899	2431	270
900	2434	267
901	2436	264
902	2438	261
903	2441	259
904	2444	256
905	2446	253
906	2448	251
907	2450	248
908	2452	245
909	2455	242
910	2458	240
911	2460	237
912	2462	234
913	2464	231
914	2466	229
915	2470	226
916	2472	223
917	2474	221
918	2476	218
919	2478	215
920	2479	212
921	2483	210
922	2485	207
923	2487	204
924	2489	201
925	2490	199
926	2492	196
927	2494	193
928	2497	190
929	2499	188
930	2501	185
931	2502	182
932	2504	179
933	2506	177
934	2508	174
935	2511	171
936	2513	169
937	2515	166
938	2516	163
939	2518	160
940	2520	158
941	2523	155
942	2525	152
943	2527	149
944	2529	147
945	2531	144
946	2533	141
947	2534	139
948	2538	136
949	2541	133
950	2542	131
951	2544	128
952	2545	125
953	2547	122
954	2548	120
955	2553	117
956	2555	114
957	2558	112
958	2562	109
959	2564	106
960	2566	104
961	2568	101
962	2571	98
963	2574	96
964	2576	93
965	2578	90
966	2580	88
967	2582	85
968	2584	82
969	2586	80
970	2589	77
971	2592	74
972	2594	71
973	2596	69
974	2599	66
975	2602	63
976	2604	61
977	2606	58
978	2608	55
979	2610	53
980	2612	50
981	2614	47
982	2617	45
983	2619	42
984	2621	39
985	2623	37
986	2625	34
987	2626	31
988	2630	29
989	2633	26
990	2635	23
991	2636	21
992	2638	18
993	2640	15
994	2643	13
995	2645	10
996	2647	7
997	2649	5
998	2651	2
999	2652	0
